-----------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------
File                                     | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                             
-----------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------
All files                                |   21.22 |    17.12 |   13.94 |   20.27 |                                                                                               
 src                                     |    5.71 |        0 |      10 |    4.04 |                                                                                               
  app.controller.ts                      |     100 |      100 |     100 |     100 |                                                                                               
  app.module.ts                          |       0 |        0 |       0 |       0 | 1-133                                                                                         
  app.service.ts                         |       0 |      100 |       0 |       0 | 1-6                                                                                           
  main.ts                                |       0 |        0 |       0 |       0 | 1-122                                                                                         
 src/common                              |       0 |      100 |     100 |       0 |                                                                                               
  common.module.ts                       |       0 |      100 |     100 |       0 | 1-14                                                                                          
 src/common/config                       |       0 |      100 |     100 |       0 |                                                                                               
  config.module.ts                       |       0 |      100 |     100 |       0 | 1-12                                                                                          
 src/common/constants                    |     100 |      100 |     100 |     100 |                                                                                               
  subscription.constants.ts              |     100 |      100 |     100 |     100 |                                                                                               
 src/common/decorators                   |       0 |        0 |       0 |       0 |                                                                                               
  platform.decorator.ts                  |       0 |        0 |       0 |       0 | 1-8                                                                                           
 src/common/filters                      |       0 |        0 |       0 |       0 |                                                                                               
  alerts-exception.filter.ts             |       0 |        0 |       0 |       0 | 1-56                                                                                          
  http-exception.filter.ts               |       0 |        0 |       0 |       0 | 1-35                                                                                          
 src/common/guards                       |       0 |        0 |       0 |       0 |                                                                                               
  gym-feature.guard.ts                   |       0 |        0 |       0 |       0 | 23-133                                                                                        
 src/common/i18n                         |      28 |        0 |       0 |   22.72 |                                                                                               
  i18n.service.ts                        |      28 |        0 |       0 |   22.72 | 13-89                                                                                         
 src/common/middleware                   |       0 |        0 |       0 |       0 |                                                                                               
  logger.middleware.ts                   |       0 |        0 |       0 |       0 | 2-54                                                                                          
  platform.middleware.ts                 |       0 |        0 |       0 |       0 | 2-23                                                                                          
 src/common/providers                    |       0 |        0 |       0 |       0 |                                                                                               
  database.module.ts                     |       0 |      100 |     100 |       0 | 1-8                                                                                           
  mongo.provider.ts                      |       0 |        0 |       0 |       0 | 1-11                                                                                          
 src/common/schemas                      |     100 |       75 |     100 |     100 |                                                                                               
  user.schema.ts                         |     100 |       75 |     100 |     100 | 150-341                                                                                       
 src/common/services                     |    6.52 |     12.5 |       0 |    4.65 |                                                                                               
  gemini.service.ts                      |       0 |        0 |       0 |       0 | 2-141                                                                                         
  mailer.module.ts                       |       0 |      100 |     100 |       0 | 1-8                                                                                           
  mailer.service.ts                      |   18.18 |    16.66 |       0 |    12.9 | 8-69                                                                                          
